lock_key	name	version	is_direct_name	owner_count	owners	owner_groups	action
@rolldown/binding-linux-x64-musl@1.0.0-rc.1	@rolldown/binding-linux-x64-musl	1.0.0-rc.1	false	1	tsdown	package-dev	removed-with-js-toolchain
@rolldown/binding-openharmony-arm64@1.0.0-rc.1	@rolldown/binding-openharmony-arm64	1.0.0-rc.1	false	1	tsdown	package-dev	removed-with-js-toolchain
@rolldown/binding-wasm32-wasi@1.0.0-rc.1	@rolldown/binding-wasm32-wasi	1.0.0-rc.1	false	1	tsdown	package-dev	removed-with-js-toolchain
@rolldown/binding-win32-arm64-msvc@1.0.0-rc.1	@rolldown/binding-win32-arm64-msvc	1.0.0-rc.1	false	1	tsdown	package-dev	removed-with-js-toolchain
@rolldown/binding-win32-x64-msvc@1.0.0-rc.1	@rolldown/binding-win32-x64-msvc	1.0.0-rc.1	false	1	tsdown	package-dev	removed-with-js-toolchain
@rolldown/pluginutils@1.0.0-rc.1	@rolldown/pluginutils	1.0.0-rc.1	false	1	tsdown	package-dev	removed-with-js-toolchain
@rollup/rollup-android-arm-eabi@4.55.1	@rollup/rollup-android-arm-eabi	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-android-arm64@4.55.1	@rollup/rollup-android-arm64	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-darwin-arm64@4.55.1	@rollup/rollup-darwin-arm64	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-darwin-x64@4.55.1	@rollup/rollup-darwin-x64	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-freebsd-arm64@4.55.1	@rollup/rollup-freebsd-arm64	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-freebsd-x64@4.55.1	@rollup/rollup-freebsd-x64	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-linux-arm-gnueabihf@4.55.1	@rollup/rollup-linux-arm-gnueabihf	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-linux-arm-musleabihf@4.55.1	@rollup/rollup-linux-arm-musleabihf	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-linux-arm64-gnu@4.55.1	@rollup/rollup-linux-arm64-gnu	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-linux-arm64-musl@4.55.1	@rollup/rollup-linux-arm64-musl	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-linux-loong64-gnu@4.55.1	@rollup/rollup-linux-loong64-gnu	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-linux-loong64-musl@4.55.1	@rollup/rollup-linux-loong64-musl	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-linux-ppc64-gnu@4.55.1	@rollup/rollup-linux-ppc64-gnu	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-linux-ppc64-musl@4.55.1	@rollup/rollup-linux-ppc64-musl	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-linux-riscv64-gnu@4.55.1	@rollup/rollup-linux-riscv64-gnu	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-linux-riscv64-musl@4.55.1	@rollup/rollup-linux-riscv64-musl	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-linux-s390x-gnu@4.55.1	@rollup/rollup-linux-s390x-gnu	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-linux-x64-gnu@4.55.1	@rollup/rollup-linux-x64-gnu	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-linux-x64-musl@4.55.1	@rollup/rollup-linux-x64-musl	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-openbsd-x64@4.55.1	@rollup/rollup-openbsd-x64	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-openharmony-arm64@4.55.1	@rollup/rollup-openharmony-arm64	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-win32-arm64-msvc@4.55.1	@rollup/rollup-win32-arm64-msvc	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-win32-ia32-msvc@4.55.1	@rollup/rollup-win32-ia32-msvc	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-win32-x64-gnu@4.55.1	@rollup/rollup-win32-x64-gnu	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@rollup/rollup-win32-x64-msvc@4.55.1	@rollup/rollup-win32-x64-msvc	4.55.1	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@sindresorhus/is@4.6.0	@sindresorhus/is	4.6.0	false	1	marked-terminal	runtime	replace-through-runtime-owner
@standard-schema/spec@1.1.0	@standard-schema/spec	1.1.0	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@tybys/wasm-util@0.10.1	@tybys/wasm-util	0.10.1	false	1	tsdown	package-dev	removed-with-js-toolchain
@types/cardinal@2.1.1	@types/cardinal	2.1.1	false	1	@types/marked-terminal	package-dev	removed-with-js-toolchain
@types/chai@5.2.3	@types/chai	5.2.3	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@types/deep-eql@4.0.2	@types/deep-eql	4.0.2	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@types/estree@1.0.8	@types/estree	1.0.8	false	6	@vitest/coverage-v8,eslint,eslint-config-prettier,tsdown,typescript-eslint,vitest	package-dev,workspace-dev	removed-with-js-toolchain
@types/istanbul-lib-coverage@2.0.6	@types/istanbul-lib-coverage	2.0.6	false	2	c8,tryscript	package-dev	removed-with-js-toolchain
@types/jsesc@2.5.1	@types/jsesc	2.5.1	false	1	tsdown	package-dev	removed-with-js-toolchain
@types/json-schema@7.0.15	@types/json-schema	7.0.15	false	3	eslint,eslint-config-prettier,typescript-eslint	workspace-dev	removed-with-js-toolchain
@types/marked-terminal@6.1.1	@types/marked-terminal	6.1.1	true	1	@types/marked-terminal	package-dev	covered-in-direct-plan
@types/node@24.10.13	@types/node	24.10.13	true	4	@types/marked-terminal,@types/node,@vitest/coverage-v8,vitest	package-dev	covered-in-direct-plan
@typescript-eslint/eslint-plugin@8.58.0(@typescript-eslint/parser@8.58.0(eslint@9.39.4(jiti@2.6.1))(typescript@5.9.3))(eslint@9.39.4(jiti@2.6.1))(typescript@5.9.3)	@typescript-eslint/eslint-plugin	8.58.0(@typescript-eslint/parser@8.58.0(eslint@9.39.4(jiti@2.6.1))(typescript@5.9.3))(eslint@9.39.4(jiti@2.6.1))(typescript@5.9.3)	false	1	typescript-eslint	workspace-dev	removed-with-js-toolchain
@typescript-eslint/parser@8.58.0(eslint@9.39.4(jiti@2.6.1))(typescript@5.9.3)	@typescript-eslint/parser	8.58.0(eslint@9.39.4(jiti@2.6.1))(typescript@5.9.3)	false	1	typescript-eslint	workspace-dev	removed-with-js-toolchain
@typescript-eslint/project-service@8.58.0(typescript@5.9.3)	@typescript-eslint/project-service	8.58.0(typescript@5.9.3)	false	1	typescript-eslint	workspace-dev	removed-with-js-toolchain
@typescript-eslint/scope-manager@8.58.0	@typescript-eslint/scope-manager	8.58.0	false	1	typescript-eslint	workspace-dev	removed-with-js-toolchain
@typescript-eslint/tsconfig-utils@8.58.0(typescript@5.9.3)	@typescript-eslint/tsconfig-utils	8.58.0(typescript@5.9.3)	false	1	typescript-eslint	workspace-dev	removed-with-js-toolchain
@typescript-eslint/type-utils@8.58.0(eslint@9.39.4(jiti@2.6.1))(typescript@5.9.3)	@typescript-eslint/type-utils	8.58.0(eslint@9.39.4(jiti@2.6.1))(typescript@5.9.3)	false	1	typescript-eslint	workspace-dev	removed-with-js-toolchain
@typescript-eslint/types@8.58.0	@typescript-eslint/types	8.58.0	false	1	typescript-eslint	workspace-dev	removed-with-js-toolchain
@typescript-eslint/typescript-estree@8.58.0(typescript@5.9.3)	@typescript-eslint/typescript-estree	8.58.0(typescript@5.9.3)	false	1	typescript-eslint	workspace-dev	removed-with-js-toolchain
@typescript-eslint/utils@8.58.0(eslint@9.39.4(jiti@2.6.1))(typescript@5.9.3)	@typescript-eslint/utils	8.58.0(eslint@9.39.4(jiti@2.6.1))(typescript@5.9.3)	false	1	typescript-eslint	workspace-dev	removed-with-js-toolchain
@typescript-eslint/visitor-keys@8.58.0	@typescript-eslint/visitor-keys	8.58.0	false	1	typescript-eslint	workspace-dev	removed-with-js-toolchain
@vitest/coverage-v8@4.0.18(vitest@4.0.18(@types/node@24.10.13)(jiti@2.6.1)(tsx@4.21.0)(yaml@2.8.4))	@vitest/coverage-v8	4.0.18(vitest@4.0.18(@types/node@24.10.13)(jiti@2.6.1)(tsx@4.21.0)(yaml@2.8.4))	true	1	@vitest/coverage-v8	package-dev	covered-in-direct-plan
@vitest/expect@4.0.18	@vitest/expect	4.0.18	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@vitest/mocker@4.0.18(vite@7.3.1(@types/node@24.10.13)(jiti@2.6.1)(tsx@4.21.0)(yaml@2.8.4))	@vitest/mocker	4.0.18(vite@7.3.1(@types/node@24.10.13)(jiti@2.6.1)(tsx@4.21.0)(yaml@2.8.4))	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@vitest/pretty-format@4.0.18	@vitest/pretty-format	4.0.18	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@vitest/runner@4.0.18	@vitest/runner	4.0.18	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@vitest/snapshot@4.0.18	@vitest/snapshot	4.0.18	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@vitest/spy@4.0.18	@vitest/spy	4.0.18	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
@vitest/utils@4.0.18	@vitest/utils	4.0.18	false	2	@vitest/coverage-v8,vitest	package-dev	removed-with-js-toolchain
acorn-jsx@5.3.2(acorn@8.16.0)	acorn-jsx	5.3.2(acorn@8.16.0)	false	3	eslint,eslint-config-prettier,typescript-eslint	workspace-dev	removed-with-js-toolchain
acorn-loose@8.5.2	acorn-loose	8.5.2	false	3	c8,monocart-coverage-reports,tryscript	package-dev	removed-with-js-toolchain
acorn-walk@8.3.4	acorn-walk	8.3.4	false	3	c8,monocart-coverage-reports,tryscript	package-dev	removed-with-js-toolchain
acorn@8.15.0	acorn	8.15.0	false	3	c8,monocart-coverage-reports,tryscript	package-dev	removed-with-js-toolchain
acorn@8.16.0	acorn	8.16.0	false	3	eslint,eslint-config-prettier,typescript-eslint	workspace-dev	removed-with-js-toolchain
ajv@6.14.0	ajv	6.14.0	false	3	eslint,eslint-config-prettier,typescript-eslint	workspace-dev	removed-with-js-toolchain
ansi-escapes@7.2.0	ansi-escapes	7.2.0	false	1	marked-terminal	runtime	replace-through-runtime-owner
ansi-regex@5.0.1	ansi-regex	5.0.1	false	3	c8,marked-terminal,tryscript	package-dev,runtime	split-runtime-and-tooling
