lock_key	name	version	is_direct_name	owner_count	owners	owner_groups	action
debug@4.4.3	debug	4.4.3	false	3	@modelcontextprotocol/sdk,node-llama-cpp,vitest	dev,runtime	split-runtime-and-tooling
decompress-response@6.0.0	decompress-response	6.0.0	false	1	better-sqlite3	runtime	replace-through-runtime-owner
deep-eql@5.0.2	deep-eql	5.0.2	false	1	vitest	dev	removed-with-js-toolchain
deep-extend@0.6.0	deep-extend	0.6.0	false	2	better-sqlite3,node-llama-cpp	runtime	replace-through-runtime-owner
depd@2.0.0	depd	2.0.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
detect-libc@2.1.2	detect-libc	2.1.2	false	1	better-sqlite3	runtime	replace-through-runtime-owner
dunder-proto@1.0.1	dunder-proto	1.0.1	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
ee-first@1.1.1	ee-first	1.1.1	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
emoji-regex@10.6.0	emoji-regex	10.6.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
emoji-regex@8.0.0	emoji-regex	8.0.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
encodeurl@2.0.0	encodeurl	2.0.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
end-of-stream@1.4.5	end-of-stream	1.4.5	false	1	better-sqlite3	runtime	replace-through-runtime-owner
env-var@7.5.0	env-var	7.5.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
es-define-property@1.0.1	es-define-property	1.0.1	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
es-errors@1.3.0	es-errors	1.3.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
es-module-lexer@1.7.0	es-module-lexer	1.7.0	false	1	vitest	dev	removed-with-js-toolchain
es-object-atoms@1.1.1	es-object-atoms	1.1.1	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
esbuild@0.27.7	esbuild	0.27.7	false	2	tsx,vitest	dev	removed-with-js-toolchain
escalade@3.2.0	escalade	3.2.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
escape-html@1.0.3	escape-html	1.0.3	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
estree-walker@3.0.3	estree-walker	3.0.3	false	1	vitest	dev	removed-with-js-toolchain
etag@1.8.1	etag	1.8.1	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
eventemitter3@5.0.4	eventemitter3	5.0.4	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
eventsource-parser@3.0.6	eventsource-parser	3.0.6	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
